university;open_date;close_date;abbr_x;prospectus_x;application_link;Assigned;open date;close date;abbr_y;prospectus_y;application link;Application Fee;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
University of Cape Town;2025/04/01;2025/07/31;UCT;https://uct.ac.za/sites/default/files/media/documents/uct_ac_za/49/2025_ug_prospectus.pdf;https://applyonline.uct.ac.za/;Rirhandzo Mthombeni;2025-04-01;2025-07-31;UCT;https://uct.ac.za/sites/default/files/media/documents/uct_ac_za/49/ug-prospectus-2026.pdf;https://applyonline.uct.ac.za/;R100;;;;;
University of Fort Hare;2025/06/01;2025/10/31;UFH;https://www.ufh.ac.za/apply/Study-at-Fort-Hare-2024.pdf;https://ienabler.ufh.ac.za/pls/prodi41/gen.gw1pkg.gw1view;Sibongile Mthetwa;2025-06-01;2025-10-31;UFH;https://www.ufh.ac.za/wp-content/aploads/2025/01/general-prospectus-2025.pdf;;R120;;;;;
University of the Free State;2025/04/01;2025/09/30;UFS;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/ufs-undergrad-prospectus-2025---future-focused.pdf;https://apply.ufs.ac.za/;Sibongile Mthetwa;2025-04-01;31 may, 31 july, 30 september;UFS;https://www.ufs.ac.za/prospective/prospective-students/undergraduate/prospectus;;Free;;;;;
University of Johannesburg;2025/04/01;2025/10/31;UJ;https://www.uj.ac.za/wp-content/uploads/2024/03/uj-undergraduate-prospectus-2025.pdf;https://uj.ac.za/apply;Praise Oyeboade;1st April;31st October;UJ;https://assets.apply.org.za/u-files/Prospectuses/UJ2026.pdf;https://uj.ac.za/apply;R200 but online appications are free;;;;;
University of KwaZulu Natal;2025/03/01;2025/11/30;UKZN;https://ww2.applications.ukzn.ac.za/wp-content/uploads/2024/02/Undergrad2024-WEB-updated-1.pdf;https://cao.ac.za;Zanele Sikhwinyane;2025-03-01;31/09/2025;UKZN;https://ww1.applications.ukzn.ac.za/prospectus/;https://cao.ac.za;R250 CAO fee;;;;;
University of Limpopo;2025/03/31;2025/09/29;UL;https://www.ul.ac.za/application/downloads/Undergraduate_Prospectus_2025.pdf;https://ulc-prod-webserver.ul.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP;Rirhandzo Mthombeni;2025-03-31;2025-9-29;UL;https://www.ul.ac.za/wp-content/uploads/2025/03/Undergraduate-Prospectus-2026.pdf;https://ulc-prod-webserver.ul.ac.za/pls/prodi41/gen.gw1pkg.gw1view;R200;;;;;
University of Mpumalanga;2025/06/01;2025/11/30;UM;https://www.ump.ac.za/getattachment/Study-with-us/Application-Process/Online-Applications/Undergraduate-Programmes.pdf;https://www.ump.ac.za/Study-with-us/Application-Process/Online-Applications;Ayanda Thebehali;2025-06-01;2025-11-30;UM;https://www.ump.ac.za/getattachment/Study-with-us/Application-Process/Online-Applications/Undergraduate-Programmes.pdf.aspx?lang=en-US;https://www.ump.ac.za/Study-with-us/Application-Process/Online-Applications;R200;;;;;
North-West University;2025/04/01;2025/08/31;NWU;https://studies.nwu.ac.za/sites/studies.nwu.ac.za/files/files/undergrad/Grade-12-prospectus.24.03.25.pdf;https://applynow.nwu.ac.za/OnlineApplication/;Kamohelo Khanye;2025-04-01;;NWU;https://studies.nwu.ac.za/sites/studies.nwu.ac.za/files/files/undergrad/2025/2025Grade-12-Prospectus.pdf;https://applynow.nwu.ac.za/OnlineApplication/;Free;;;;;
Nelson Mandela University;2025/04/01;2025/09/30;Mandela;https://www.mandela.ac.za/www-new/media/Store/documents/StudyAtMandela/QuickGuides/Apply/2024-Full-Undergraduate-Guide.pdf;https://applyonline.mandela.ac.za/;Sphiwe Mvulane;2025-04-01;;Mandela;;https://applyonline.mandela.ac.za/;;;;;;
Rhodes University;2025/04/01;2025/11/15;RU;https://www.ru.ac.za/admissiongateway/application/entryrequirements/;https://ross.ru.ac.za/;Praise Oyeboade;1st April;15th November;RU;https://www.ru.ac.za/admissiongateway/application/entryrequirements/;;R100;;;;;
