Code,Name
AHL,Arabic Home Language
AFAL,Arabic First Additional Language
ASAL,Arabic Second Additional Language
Accounting,Accounting
Afrikaans First Additional Language,Afrikaans First Additional Language
Afrikaans Home Language,Afrikaans Home Language
Afrikaans Second Additional Language,Afrikaans Second Additional Language
Agricultural Management Practices,Agricultural Management Practices
Agricultural Sciences,Agricultural Sciences
Agricultural Technology,Agricultural Technology
Business Studies,Business Studies
CAT,Computer Applications Technology
Civil Technology,Civil Technology
Consumer Studies,Consumer Studies
Dance Studies,Dance Studies
Design,Design
Dramatic Arts,Dramatic Arts
EHL,English Home Language
EFAL,English First Additional Language
ESAL,English Second Additional Language
Economics,Economics
Electrical Technology,Electrical Technology
Engineering Graphics and Design,Engineering Graphics and Design
Equine Studies,Equine Studies
FHAL,French Home Additional Language
FHL,French Home Language
FSAL,French Second Additional Language
GHL,Gujarati Home Language
GFAL,Gujarati First Additional Language
GSAL,Gujarati Second Additional Language
Geography,Geography
History,History
HHL,Hindi Home Language
HFAL,Hindi First Additional Language
HSAL,Hindi Second Additional Language
Hebrew First Additional Language,Hebrew First Additional Language
Hebrew Home Language,Hebrew Home Language
Hebrew Second Additional Language,Hebrew Second Additional Language
Hospitality Studies,Hospitality Studies
IHL,Italian Home Language
IFAL,Italian First Additional Language
ISAL,Italian Second Additional Language
IT,Information Technology
isiNdebele First Additional Language,isiNdebele First Additional Language
isiNdebele Home Language,isiNdebele Home Language
isiNdebele Second Additional Language,isiNdebele Second Additional Language
isiXhosa First Additional Language,isiXhosa First Additional Language
isiXhosa Home Language,isiXhosa Home Language
isiXhosa Second Additional Language,isiXhosa Second Additional Language
isiZulu First Additional Language,isiZulu First Additional Language
isiZulu Home Language,isiZulu Home Language
isiZulu Second Additional Language,isiZulu Second Additional Language
Life Orientation,Life Orientation
Life Sciences,Life Sciences
LO,Life Orientation
LSAL,Latin Second Additional Language
Mandarin Second Additional Language,Mandarin Second Additional Language
Marine Sciences,Marine Sciences
Maritime Economics,Maritime Economics
Mathematical Literacy,Mathematical Literacy
Mathematics,Mathematics
Mechanical Technology,Mechanical Technology
Modern Greek,Modern Greek
Music,Music
Nautical Science,Nautical Science
PFAL,Portuguese First Additional Language
PHL,Portuguese Home Language
PSAL,Portuguese Second Additional Language
Physical Sciences,Physical Sciences
Religion Studies,Religion Studies
Sepedi First Additional Language,Sepedi First Additional Language
Sepedi Home Language,Sepedi Home Language
Sepedi Second Additional Language,Sepedi Second Additional Language
Serbian,Serbian
Sesotho First Additional Language,Sesotho First Additional Language
Sesotho Home Language,Sesotho Home Language
Sesotho Second Additional Language,Sesotho Second Additional Language
Setswana First Additional Language,Setswana First Additional Language
Setswana Home Language,Setswana Home Language
Setswana Second Additional Language,Setswana Second Additional Language
SiSwati First Additional Language,SiSwati First Additional Language
SiSwati Home Language,SiSwati Home Language
SiSwati Second Additional Language,SiSwati Second Additional Language
South African Sign Language Home Language,South African Sign Language Home Language
Spanish Second Additional Language,Spanish Second Additional Language
Sport and Exercise Science,Sport and Exercise Science
Technical Mathematics,Technical Mathematics
Technical Sciences,Technical Sciences
Tamil First Additional Language,Tamil First Additional Language
Tamil Home Language,Tamil Home Language
Tamil Second Additional Language,Tamil Second Additional Language
Telegu First Additional Language,Telegu First Additional Language
Telegu Home Language,Telegu Home Language
Telegu Second Additional Language,Telegu Second Additional Language
Tourism,Tourism
Tshivenda First Additional Language,Tshivenda First Additional Language
Tshivenda Home Language,Tshivenda Home Language
Tshivenda Second Additional Language,Tshivenda Second Additional Language
UHL,Urdu Home Language
UFAL,Urdu First Additional Language
USAL,Urdu Second Additional Language
Visual Arts,Visual Arts
Xitsonga First Additional Language,Xitsonga First Additional Language
Xitsonga Home Language,Xitsonga Home Language
