Subject,Levels
Hindi Home Language,"1,2,3,4,5,6,7"
Hindi First Additional Language,"1,2,3,4,5,6,7"
Hindi Second Additional Language,"1,2,3,4,5,6,7"
History,"1,2,3,4,5,6,7"
Hospitality Studies,"1,2,3,4,5,6,7"
Human and Social Sciences,"1,2,3,4,5,6,7"
Information Technology,"1,2,3,4,5,6,7"
IsiNdebele Home Language,"1,2,3,4,5,6,7"
IsiNdebele First Additional Language,"1,2,3,4,5,6,7"
IsiXhosa Home Language,"1,2,3,4,5,6,7"
IsiXhosa First Additional Language,"1,2,3,4,5,6,7"
IsiZulu Home Language,"1,2,3,4,5,6,7"
IsiZulu First Additional Language,"1,2,3,4,5,6,7"
Life Orientation,"1,2,3,4,5,6,7"
Life Sciences,"1,2,3,4,5,6,7"
Literacy,"1,2,3,4,5,6,7"
Mathematics,"1,2,3,4,5,6,7"
Mathematical Literacy,"1,2,3,4,5,6,7"
Mechanical Technology,"1,2,3,4,5,6,7"
Music,"1,2,3,4,5,6,7"
Physical Sciences,"1,2,3,4,5,6,7"
Sesotho Home Language,"1,2,3,4,5,6,7"
Sesotho First Additional Language,"1,2,3,4,5,6,7"
Setswana Home Language,"1,2,3,4,5,6,7"
Setswana First Additional Language,"1,2,3,4,5,6,7"
Sepedi Home Language,"1,2,3,4,5,6,7"
Sepedi First Additional Language,"1,2,3,4,5,6,7"
Sign Language,"1,2,3,4,5,6,7"
Spanish Home Language,"1,2,3,4,5,6,7"
Spanish First Additional Language,"1,2,3,4,5,6,7"
Technical Mathematics,"1,2,3,4,5,6,7"
Technical Sciences,"1,2,3,4,5,6,7"
Technology,"1,2,3,4,5,6,7"
Tourism,"1,2,3,4,5,6,7"
Tshivenda Home Language,"1,2,3,4,5,6,7"
Tshivenda First Additional Language,"1,2,3,4,5,6,7"
Urdu Home Language,"1,2,3,4,5,6,7"
Urdu First Additional Language,"1,2,3,4,5,6,7"
Visual Arts,"1,2,3,4,5,6,7"
Xitsonga Home Language,"1,2,3,4,5,6,7"
Xitsonga First Additional Language,"1,2,3,4,5,6,7"
