university;open_date;close_date;abbr;prospectus;application_link
University of Cape Town;2024/04/02;2024/07/31;UCT;https://uct.ac.za/sites/default/files/media/documents/uct_ac_za/49/2025_ug_prospectus.pdf;https://applyonline.uct.ac.za/
University of Fort Hare;2024/04/01;2024/11/30;UFH;https://www.ufh.ac.za/apply/Study-at-Fort-Hare-2024.pdf;https://ienabler.ufh.ac.za/pls/prodi41/gen.gw1pkg.gw1view
University of the Free State;2024/04/01;2024/09/30;UFS;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/ufs-undergrad-prospectus-2025---future-focused.pdf;https://apply.ufs.ac.za/
University of Johannesburg;2024/04/01;2024/10/31;UJ;https://www.uj.ac.za/wp-content/uploads/2024/03/uj-undergraduate-prospectus-2025.pdf;https://uj.ac.za/apply
University of KwaZulu Natal;2024/04/01;2024/09/30;UKZN;https://ww2.applications.ukzn.ac.za/wp-content/uploads/2024/02/Undergrad2024-WEB-updated-1.pdf;https://cao.ac.za
University of Limpopo;2024/04/01;2024/11/30;UL;https://www.ul.ac.za/application/downloads/Undergraduate_Prospectus_2025.pdf;https://ulc-prod-webserver.ul.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP
University of Mpumalanga;2024/06/01;2024/11/30;UM;https://www.ump.ac.za/getattachment/Study-with-us/Application-Process/Online-Applications/Undergraduate-Programmes.pdf;https://www.ump.ac.za/Study-with-us/Application-Process/Online-Applications
North-West University;2024/04/02;2024/08/31;NWU;https://studies.nwu.ac.za/sites/studies.nwu.ac.za/files/files/undergrad/Grade-12-prospectus.24.03.25.pdf;https://applynow.nwu.ac.za/OnlineApplication/
Nelson Mandela University;2024/04/02;2024/09/30;Mandela;https://www.mandela.ac.za/www-new/media/Store/documents/StudyAtMandela/QuickGuides/Apply/2024-Full-Undergraduate-Guide.pdf;https://applyonline.mandela.ac.za/
Rhodes University;2024/04/01;2024/09/30;RU;https://www.ru.ac.za/admissiongateway/application/entryrequirements/;https://ross.ru.ac.za/
University of South Africa(UNISA);2024/08/11;2024/11/12;UNISA;https://www.unisa.ac.za/static/myunisa/Content/study%20at%20unisa/docs/Study-at-Unisa-2020.pdf;https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission
Stellenbosch University;2024/04/01;2024/07/31;SUN;https://www.sun.ac.za/english/maties/Documents/Admission%20booklet%202025%20%28English%29.pdf;https://student.sun.ac.za/applicant-portal/#/auth/login
University of Pretoria;2024/04/02;2024/06/30;UP;https://www.up.ac.za/media/shared/368/Faculty%20Brochures/2025/up_ug-prospectus-2025_nsc-ieb_devv5_web.zp246017.pdf;https://upnet.up.ac.za/upapply/signon.html
University of the Western Cape;2024/04/02;2024/09/30;UWC;https://uwc-za.b-cdn.net/files/files/Admission-Requirements-2025.pdf;https://student.uwc.ac.za/
University of the Witwatersrand;2024/03/01;2024/09/30;Wits;;http://www.wits.ac.za/applications/
Walter Sisulu University;2024/04/01;2024/09/30;WSU;https://www.wsu.ac.za/index.php/study-with-us/undergraduate-academic-programmes/new-undergraduate-students/how-to-apply-the-process;http://itsapp.cle.intra.wsu.ac.za:7771/pls/prodi03/w99pkg.mi_login
University of Venda;2024/04/01;2024/09/26;UNIVEN;https://www.univen.ac.za/wp-content/uploads/2024/02/2025_-Undergraduate-Student-Information-Brochure-corrected.pdf;https://www.univen.ac.za/students/student-support-services/how-to-apply/apply-online/
University of Zululand;2024/04/01;2024/10/31;UNIZULU;https://www.unizulu.ac.za/wp-content/uploads/2022/07/Admission-Requirements-for-2023.pdf;https://cao.ac.za
Sol Plaatje University;2024/04/01;2024/11/30;SPU;https://www.spu.ac.za/wp-content/uploads/2024/04/SPU-2025-UG-Prospectus.pdf;https://ienabler.spu.ac.za/pls/prodi41/w99pkg.mi_login?numtype=S
Cape Peninsula University of Technology;2024/05/13;2024/09/30;CPUT;https://s3.amazonaws.com/document.issuu.com/210528105503-9cc51ba6238e02238225aa90bcc2b099/original.file?AWSAccessKeyId=AKIATDDRE5J7XVRGFFGQ&Expires=1628098837&Signature=dO67Fv%2FzWqJDqLMxewhvb%2FpQ4dA%3D;https://alecto.cput.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP
Central University of Technology;2024/05/06;2024/09/30;CUT;https://cms.cut.ac.za/Files/Froala/98dbd744-3e0a-4e80-9939-2dfc1f510f78.pdf;https://enroll.cut.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP
Durban University of Technology;2024/04/01;2024/11/30;DUT;https://www.dut.ac.za/student_portal/student_registration/how_to;https://cao.ac.za
Tswane University of Technology;2024/03/10;2024/09/30;TUT;https://www.tut.ac.za/media/docs/2025%20Course%20Information.pdf;https://ienabler.tut.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP
Vaal University of Technology;2024/05/06;2024/10/31;VUT;https://www.vut.ac.za/wp-content/uploads/2024/02/2025-Undergrad-A4-flyer-double-sided-Final-for-Web.pdf;https://ienabler.vut.ac.za/pls/prodi03/w99pkg.mi_login
Mangosuthu University of Technology;2024/04/01;2024/09/30;MUT;vut.ac.za/apply-to-vut/;https://cao.ac.za
Ekurhuleni West College;2024/05/01;2024/09/30;EWC;http://www.ewc.edu.za/docs/EWC_Prospectus_2023.pdf;http://www.ewc.edu.za/new_students_application_instructions.htm
